Price,Type,Year
-44.25078300321371,Electricity Export,2021
-41.57078300321371,Electricity Export,2021
-36.45078400321371,Electricity Export,2021
-35.30078200321371,Electricity Export,2021
-34.56078100321371,Electricity Export,2021
-33.36078400321371,Electricity Export,2021
-34.580781003213716,Electricity Export,2021
-35.32078300321371,Electricity Export,2021
-36.57078300321371,Electricity Export,2021
-40.210782003213716,Electricity Export,2021
-45.30078200321371,Electricity Export,2021
-53.77078400321371,Electricity Export,2021
-53.12078200321371,Electricity Export,2021
-51.35078200321371,Electricity Export,2021
-53.12078200321371,Electricity Export,2021
-50.830781003213716,Electricity Export,2021
-50.73078300321371,Electricity Export,2021
-50.99078100321371,Electricity Export,2021
-49.960782003213716,Electricity Export,2021
-50.510781003213715,Electricity Export,2021
-53.32078300321371,Electricity Export,2021
-51.37078200321371,Electricity Export,2021
-44.010781003213715,Electricity Export,2021
-40.03078200321371,Electricity Export,2021
-38.37078200321371,Electricity Export,2021
-35.28078200321371,Electricity Export,2021
-29.850782003213713,Electricity Export,2021
-28.95078200321371,Electricity Export,2021
-27.02078200321371,Electricity Export,2021
-25.24078300321371,Electricity Export,2021
-23.750781003213714,Electricity Export,2021
-27.380782003213714,Electricity Export,2021
-29.540782003213714,Electricity Export,2021
-34.18078300321371,Electricity Export,2021
-38.85078200321371,Electricity Export,2021
-39.87078200321371,Electricity Export,2021
-37.52078400321371,Electricity Export,2021
-36.630780003213715,Electricity Export,2021
-36.57078300321371,Electricity Export,2021
-36.54078000321371,Electricity Export,2021
-35.460782003213716,Electricity Export,2021
-35.42078100321371,Electricity Export,2021
-36.61078400321371,Electricity Export,2021
-37.95078400321371,Electricity Export,2021
-44.130780003213715,Electricity Export,2021
-39.03078200321371,Electricity Export,2021
-37.960782003213716,Electricity Export,2021
-34.31078100321371,Electricity Export,2021
-30.590781003213714,Electricity Export,2021
-28.11078200321371,Electricity Export,2021
-23.920781003213712,Electricity Export,2021
-23.470782003213714,Electricity Export,2021
-17.940782003213712,Electricity Export,2021
-7.560782003213712,Electricity Export,2021
0.4792179967862883,Electricity Export,2021
1.3592179967862883,Electricity Export,2021
-12.310782003213712,Electricity Export,2021
-26.090781003213714,Electricity Export,2021
-33.94078200321371,Electricity Export,2021
-35.85078200321371,Electricity Export,2021
-33.91078300321371,Electricity Export,2021
-31.630780003213715,Electricity Export,2021
-32.00078300321371,Electricity Export,2021
-32.31078100321371,Electricity Export,2021
-33.960782003213716,Electricity Export,2021
-34.840783003213716,Electricity Export,2021
-35.23078300321371,Electricity Export,2021
-36.55078200321371,Electricity Export,2021
-38.140782003213715,Electricity Export,2021
-35.840783003213716,Electricity Export,2021
-34.330781003213716,Electricity Export,2021
-30.630780003213715,Electricity Export,2021
-28.70078200321371,Electricity Export,2021
-26.050782003213712,Electricity Export,2021
-22.710782003213712,Electricity Export,2021
-7.720782003213712,Electricity Export,2021
-12.540782003213712,Electricity Export,2021
-9.700782003213712,Electricity Export,2021
-10.130782003213712,Electricity Export,2021
-14.86078200321371,Electricity Export,2021
-27.11078200321371,Electricity Export,2021
-30.85078200321371,Electricity Export,2021
-36.28078200321371,Electricity Export,2021
-40.130780003213715,Electricity Export,2021
-38.24078100321371,Electricity Export,2021
-37.24078100321371,Electricity Export,2021
-36.080781003213716,Electricity Export,2021
-35.010781003213715,Electricity Export,2021
-34.45078400321371,Electricity Export,2021
-33.890782003213715,Electricity Export,2021
-33.80078200321371,Electricity Export,2021
-34.330781003213716,Electricity Export,2021
-34.840783003213716,Electricity Export,2021
-34.090783003213716,Electricity Export,2021
-31.97078000321371,Electricity Export,2021
-27.95078200321371,Electricity Export,2021
-26.45078200321371,Electricity Export,2021
-25.39078200321371,Electricity Export,2021
-24.02078200321371,Electricity Export,2021
-43.23078300321371,Electricity Export,2021
-27.81078300321371,Electricity Export,2021
-28.410783003213712,Electricity Export,2021
-28.940782003213712,Electricity Export,2021
-29.870782003213712,Electricity Export,2021
-30.870782003213712,Electricity Export,2021
-41.02078400321371,Electricity Export,2021
-44.50078300321371,Electricity Export,2021
-48.62078200321371,Electricity Export,2021
-55.54078000321371,Electricity Export,2021
-56.77078400321371,Electricity Export,2021
-57.57078300321371,Electricity Export,2021
-55.25078300321371,Electricity Export,2021
-50.62078200321371,Electricity Export,2021
-49.62078200321371,Electricity Export,2021
-52.27078400321371,Electricity Export,2021
-56.92078100321371,Electricity Export,2021
-61.710782003213716,Electricity Export,2021
-64.75077900321371,Electricity Export,2021
-61.91078300321371,Electricity Export,2021
-56.78078200321371,Electricity Export,2021
